,date,momentum_index
0,2015-01-01,100
1,2015-01-02,100
2,2015-01-05,100
3,2015-01-06,100
4,2015-01-07,100
5,2015-01-08,100
6,2015-01-09,100
7,2015-01-12,100
8,2015-01-13,100
9,2015-01-14,100
10,2015-01-15,100
11,2015-01-16,100
12,2015-01-19,100
13,2015-01-20,100
14,2015-01-21,100
15,2015-01-22,100
16,2015-01-23,100
17,2015-01-26,100
18,2015-01-27,100
19,2015-01-28,100
20,2015-01-29,100
21,2015-01-30,100
22,2015-02-02,100
23,2015-02-03,100
24,2015-02-04,100
25,2015-02-05,100
26,2015-02-06,100
27,2015-02-09,100
28,2015-02-10,100
29,2015-02-11,100
30,2015-02-12,100
31,2015-02-13,100
32,2015-02-16,100
33,2015-02-17,100
34,2015-02-18,100
35,2015-02-19,100
36,2015-02-20,100
37,2015-02-23,100
38,2015-02-24,100
39,2015-02-25,100
40,2015-02-26,100
41,2015-02-27,100
42,2015-03-02,100
43,2015-03-03,100
44,2015-03-04,100
45,2015-03-05,100
46,2015-03-06,100
47,2015-03-09,100
48,2015-03-10,100
49,2015-03-11,100
50,2015-03-12,100
51,2015-03-13,100
52,2015-03-16,100
53,2015-03-17,100
54,2015-03-18,100
55,2015-03-19,100
56,2015-03-20,100
57,2015-03-23,100
58,2015-03-24,100
59,2015-03-25,100
60,2015-03-26,100
61,2015-03-27,100
62,2015-03-30,100
63,2015-03-31,100
64,2015-04-01,100
65,2015-04-02,100
66,2015-04-03,100
67,2015-04-06,100
68,2015-04-07,100
69,2015-04-08,100
70,2015-04-09,100
71,2015-04-10,100
72,2015-04-13,100
73,2015-04-14,100
74,2015-04-15,100
75,2015-04-16,100
76,2015-04-17,100
77,2015-04-20,100
78,2015-04-21,100
79,2015-04-22,100
80,2015-04-23,100
81,2015-04-24,100
82,2015-04-27,100
83,2015-04-28,100
84,2015-04-29,100
85,2015-04-30,100
86,2015-05-01,100
87,2015-05-04,100
88,2015-05-05,100
89,2015-05-06,100
90,2015-05-07,100
91,2015-05-08,100
92,2015-05-11,100
93,2015-05-12,100
94,2015-05-13,100
95,2015-05-14,100
96,2015-05-15,100
97,2015-05-18,100
98,2015-05-19,100
99,2015-05-20,100
100,2015-05-21,100
101,2015-05-22,100
102,2015-05-25,100
103,2015-05-26,100
104,2015-05-27,100
105,2015-05-28,100
106,2015-05-29,100
107,2015-06-01,100
108,2015-06-02,100
109,2015-06-03,100
110,2015-06-04,100
111,2015-06-05,100
112,2015-06-08,100
113,2015-06-09,100
114,2015-06-10,100
115,2015-06-11,100
116,2015-06-12,100
117,2015-06-15,100
118,2015-06-16,100
119,2015-06-17,100
120,2015-06-18,100
121,2015-06-19,100
122,2015-06-22,100
123,2015-06-23,100
124,2015-06-24,100
125,2015-06-25,100
126,2015-06-26,100
127,2015-06-29,100
128,2015-06-30,100
129,2015-07-01,100
130,2015-07-02,100
131,2015-07-03,100
132,2015-07-06,100
133,2015-07-07,100
134,2015-07-08,100
135,2015-07-09,100
136,2015-07-10,100
137,2015-07-13,100
138,2015-07-14,100
139,2015-07-15,100
140,2015-07-16,100
141,2015-07-17,100
142,2015-07-20,100
143,2015-07-21,100
144,2015-07-22,100
145,2015-07-23,100
146,2015-07-24,100
147,2015-07-27,100
148,2015-07-28,100
149,2015-07-29,100
150,2015-07-30,100
151,2015-07-31,100
152,2015-08-03,100
153,2015-08-04,100
154,2015-08-05,100
155,2015-08-06,100
156,2015-08-07,100
157,2015-08-10,100
158,2015-08-11,100
159,2015-08-12,100
160,2015-08-13,100
161,2015-08-14,100
162,2015-08-17,100
163,2015-08-18,100
164,2015-08-19,100
165,2015-08-20,100
166,2015-08-21,100
167,2015-08-24,100
168,2015-08-25,100
169,2015-08-26,100
170,2015-08-27,100
171,2015-08-28,100
172,2015-08-31,100
173,2015-09-01,100
174,2015-09-02,100
175,2015-09-03,100
176,2015-09-04,100
177,2015-09-07,100
178,2015-09-08,100
179,2015-09-09,100
180,2015-09-10,100
181,2015-09-11,100
182,2015-09-14,100
183,2015-09-15,100
184,2015-09-16,100
185,2015-09-17,100
186,2015-09-18,100
187,2015-09-21,100
188,2015-09-22,100
189,2015-09-23,100
190,2015-09-24,100
191,2015-09-25,100
192,2015-09-28,100
193,2015-09-29,100
194,2015-09-30,100
195,2015-10-01,100
196,2015-10-02,100
197,2015-10-05,100
198,2015-10-06,100
199,2015-10-07,100
200,2015-10-08,100
201,2015-10-09,100
202,2015-10-12,100
203,2015-10-13,100
204,2015-10-14,100
205,2015-10-15,100
206,2015-10-16,100
207,2015-10-19,100
208,2015-10-20,100
209,2015-10-21,100
210,2015-10-22,100
211,2015-10-23,100
212,2015-10-26,100
213,2015-10-27,100
214,2015-10-28,100
215,2015-10-29,100
216,2015-10-30,100
217,2015-11-02,100
218,2015-11-03,100
219,2015-11-04,100
220,2015-11-05,100
221,2015-11-06,100
222,2015-11-09,100
223,2015-11-10,100
224,2015-11-11,100
225,2015-11-12,100
226,2015-11-13,100
227,2015-11-16,100
228,2015-11-17,100
229,2015-11-18,100
230,2015-11-19,100
231,2015-11-20,100
232,2015-11-23,100
233,2015-11-24,100
234,2015-11-25,100
235,2015-11-26,100
236,2015-11-27,100
237,2015-11-30,100
238,2015-12-01,100
239,2015-12-02,100
240,2015-12-03,100
241,2015-12-04,100
242,2015-12-07,100
243,2015-12-08,100
244,2015-12-09,100
245,2015-12-10,100
246,2015-12-11,100
247,2015-12-14,100
248,2015-12-15,100
249,2015-12-16,100
250,2015-12-17,100
251,2015-12-18,100
252,2015-12-21,100
253,2015-12-22,100
254,2015-12-23,100
255,2015-12-24,100
256,2015-12-25,100
257,2015-12-28,100
258,2015-12-29,100
259,2015-12-30,100
260,2015-12-31,100
261,2016-01-04,100.0
262,2016-01-05,99.3010513611243
263,2016-01-06,98.1074338881003
264,2016-01-07,95.85211340640535
265,2016-01-08,94.67543957639747
266,2016-01-11,94.09382056005157
267,2016-01-12,95.15952998858504
268,2016-01-13,91.30291302317421
269,2016-01-14,92.62660014104758
270,2016-01-15,89.81652703799232
271,2016-01-19,88.95012524745994
272,2016-01-20,89.15206772990672
273,2016-01-21,90.01693448263083
274,2016-01-22,91.7053053517954
275,2016-01-25,89.40019801667312
276,2016-01-26,89.14831643588865
277,2016-01-27,84.97447972319789
278,2016-01-28,83.82327747062038
279,2016-01-29,85.70474745365968
280,2016-02-01,86.58428525713543
281,2016-02-02,83.67710226211318
282,2016-02-03,83.4091209990709
283,2016-02-04,85.09058554450992
284,2016-02-05,77.4799971688802
285,2016-02-08,72.82588065877314
286,2016-02-09,72.63766597346911
287,2016-02-10,75.25552652287689
288,2016-02-11,77.05088592940864
289,2016-02-12,77.19098811214617
290,2016-02-16,80.58205125601529
291,2016-02-17,87.04529116156748
292,2016-02-18,87.08058307910984
293,2016-02-19,89.46748334126461
294,2016-02-22,90.79834268014368
295,2016-02-23,89.05937297327021
296,2016-02-24,89.6264281350793
297,2016-02-25,90.71856251481233
298,2016-02-26,91.27213906387402
299,2016-02-29,91.92482948344147
300,2016-03-01,97.28699038356962
301,2016-03-02,97.22522158983502
302,2016-03-03,97.72372262229594
303,2016-03-04,97.57710409852326
304,2016-03-07,97.2987897857847
305,2016-03-08,96.10535070713665
306,2016-03-09,97.10213660909713
307,2016-03-10,96.84604726080053
308,2016-03-11,98.66608648410104
309,2016-03-14,99.37527917299951
310,2016-03-15,98.40410690271881
311,2016-03-16,100.10162307301869
312,2016-03-17,99.6286482343911
313,2016-03-18,100.83463092791514
314,2016-03-21,102.01946690951407
315,2016-03-22,100.55068884495316
316,2016-03-23,99.12273903460922
317,2016-03-24,99.04667686640636
318,2016-03-28,98.5339280305595
319,2016-03-29,100.29019101725567
320,2016-03-30,101.14983640436017
321,2016-03-31,99.75429887816054
322,2016-04-01,100.5927858323515
323,2016-04-04,99.9630605764342
324,2016-04-05,99.1513765665993
325,2016-04-06,100.65300220081517
326,2016-04-07,98.9815408957819
327,2016-04-08,99.40043413292744
328,2016-04-11,98.99995968846943
329,2016-04-12,100.18138015479472
330,2016-04-13,102.48311805695025
331,2016-04-14,102.92869223233228
332,2016-04-15,102.72965765474049
333,2016-04-18,104.4731654862312
334,2016-04-19,103.16345728409955
335,2016-04-20,103.94829039675521
336,2016-04-21,103.97901184281622
337,2016-04-22,103.6670763691271
338,2016-04-25,102.84135631833718
339,2016-04-26,102.65487819452352
340,2016-04-27,103.38307599151094
341,2016-04-28,101.89898789109655
342,2016-04-29,102.10734894303557
343,2016-05-02,103.7775742258046
344,2016-05-03,102.13730554904492
345,2016-05-04,98.26683619561689
346,2016-05-05,97.33140945277614
347,2016-05-06,97.98199404423109
348,2016-05-09,96.87721735383839
349,2016-05-10,99.15311383755576
350,2016-05-11,98.73507630420258
351,2016-05-12,98.78209297654286
352,2016-05-13,98.58304549765299
353,2016-05-16,99.76557397372711
354,2016-05-17,99.09908899409679
355,2016-05-18,98.84838912146076
356,2016-05-19,97.85909099291756
357,2016-05-20,99.10983739289226
358,2016-05-23,97.88773973745589
359,2016-05-24,100.20918480644154
360,2016-05-25,100.6983659939322
361,2016-05-26,100.5817371220663
362,2016-05-27,100.86954955296237
363,2016-05-31,100.89920389060252
364,2016-06-01,101.8517508289867
365,2016-06-02,103.10896315890368
366,2016-06-03,103.57665613179243
367,2016-06-06,106.23264966489654
368,2016-06-07,106.6417985739658
369,2016-06-08,105.51215249647146
370,2016-06-09,104.06032858632388
371,2016-06-10,102.10928069310073
372,2016-06-13,101.66843307868938
373,2016-06-14,102.08976839100565
374,2016-06-15,101.758324203316
375,2016-06-16,102.03087295119515
376,2016-06-17,100.29548292818922
377,2016-06-20,102.44304395669582
378,2016-06-21,102.4152207997054
379,2016-06-22,102.75314201777542
380,2016-06-23,105.22302618798467
381,2016-06-24,96.61753584642855
382,2016-06-27,92.37605028854637
383,2016-06-28,94.35134002817891
384,2016-06-29,97.37621449220197
385,2016-06-30,98.10084551489334
386,2016-07-01,98.10084551489334
387,2016-07-05,96.5728125360211
388,2016-07-06,96.56968608772245
389,2016-07-07,98.21916886656541
390,2016-07-08,101.4156812869792
391,2016-07-11,104.7261138302575
392,2016-07-12,108.06045721296138
393,2016-07-13,106.8166554070737
394,2016-07-14,108.3334533860096
395,2016-07-15,107.41928955144503
396,2016-07-18,107.36593432141574
397,2016-07-19,107.13550594150283
398,2016-07-20,109.01637950213691
399,2016-07-21,106.36247714766569
400,2016-07-22,108.35437437538748
401,2016-07-25,108.89541665049144
402,2016-07-26,109.010082098852
403,2016-07-27,110.73386348920152
404,2016-07-28,112.54338035818444
405,2016-07-29,114.83383682020816
406,2016-08-01,115.0392226463835
407,2016-08-02,113.2139259861668
408,2016-08-03,113.23268176454981
409,2016-08-04,117.37436166924441
410,2016-08-05,118.81375554778491
411,2016-08-08,118.50072842965533
412,2016-08-09,119.62298785921787
413,2016-08-10,119.69120012000683
414,2016-08-11,120.7868634210102
415,2016-08-12,121.07502288090123
416,2016-08-15,121.68095369868071
417,2016-08-16,118.9167751795224
418,2016-08-17,117.56685193115464
419,2016-08-18,118.11247579713296
420,2016-08-19,118.58821449940312
421,2016-08-22,115.85996707162595
422,2016-08-23,117.76754039218123
423,2016-08-24,116.59568276265496
424,2016-08-25,120.61154109070772
425,2016-08-26,119.77525060569963
426,2016-08-29,119.6819794071126
427,2016-08-30,120.95973314125773
428,2016-08-31,120.8866896837333
429,2016-09-01,123.39149818987059
430,2016-09-02,124.78734774988838
431,2016-09-06,126.08008904379338
432,2016-09-07,126.24947819267373
433,2016-09-08,124.81353718409835
434,2016-09-09,121.37378700111351
435,2016-09-12,123.0037020387343
436,2016-09-13,121.05071250654483
437,2016-09-14,122.8863282171221
438,2016-09-15,124.8593886245247
439,2016-09-16,125.77614283328374
440,2016-09-19,124.68330125930449
441,2016-09-20,125.29868064574394
442,2016-09-21,128.0572629081374
443,2016-09-22,129.40617480937942
444,2016-09-23,127.73786028894176
445,2016-09-26,125.9955876250566
446,2016-09-27,126.9585172631397
447,2016-09-28,128.75736146764413
448,2016-09-29,127.86531688914066
449,2016-09-30,130.0162077998498
450,2016-10-03,129.36862454745958
451,2016-10-04,129.29865225790599
452,2016-10-05,130.7406834039631
453,2016-10-06,129.7530091052989
454,2016-10-07,128.85316915297366
455,2016-10-10,130.024626412336
456,2016-10-11,125.63314958630707
457,2016-10-12,124.57713357343177
458,2016-10-13,123.21953218043357
459,2016-10-14,122.78557429682444
460,2016-10-17,120.66889416452467
461,2016-10-18,125.98398182981052
462,2016-10-19,127.04926280414082
463,2016-10-20,127.15215530734379
464,2016-10-21,127.8240873811965
465,2016-10-24,128.59197211344812
466,2016-10-25,126.92659405027946
467,2016-10-26,125.01840025412642
468,2016-10-27,124.15541386931623
469,2016-10-28,124.39685843363691
470,2016-10-31,124.48619074199799
471,2016-11-01,122.5340808354389
472,2016-11-02,118.10125021763325
473,2016-11-03,118.70316033539834
474,2016-11-04,119.24590872998796
475,2016-11-07,124.07509376528611
476,2016-11-08,124.31079310355543
477,2016-11-09,125.42069063042733
478,2016-11-10,125.04568426588011
479,2016-11-11,126.18777194497605
480,2016-11-14,123.08184293884418
481,2016-11-15,124.05337408209252
482,2016-11-16,124.54265979383797
