Stock,Total Contribution (%)
CVNA,42.005236932426435
BKNG,38.052034453968
INTU,31.38271977111963
HUBS,29.497613076922573
CHWY,27.302459867460183
MMYT,25.773427447004877
ETSY,17.211523760216345
TCOM,13.659506096564941
WIX,10.959556777768952
RDDT,10.423585067673951
BILL,9.377369982200847
ABNB,8.458058761139458
DOCU,8.283872214374616
WDAY,7.478539616639514
W,7.00796021686341
BKE,5.557787080012736
CPRT,5.498242475482776
PINS,5.172857824600101
MNDY,3.2662181336981773
DUOL,3.023142093868701
BOX,1.6499910383135061
EXPE,1.4849816518840864
OPEN,1.3841794546554704
FVRR,0.8087757876560695
GRPN,0.8041033058535367
SMAR,0.7470153744690495
LOVE,0.698005795913203
RDFN,0.6955698512129014
AEYE,0.6564509809392628
FLWS,0.5188251976412679
RVLV,0.4757366726537187
DOCN,0.41074360248663216
CARG,0.40271723519698266
UPWK,0.365580570432832
SPT,0.2945712018779591
GDRX,0.2855139410460701
NEGG,0.23934497519573072
REAL,0.2270206431748859
WEAV,0.19726198042882667
CHGG,0.14914969704583428
TTGT,0.11336696424055284
PRTS,0.07347545882759027
TREE,0.07322170773812853
TRIP,0.07078885015881996
TDUP,0.06960241510511878
LITB,0.0577720478154369
FPAY,0.056149070045125225
TRVG,0.043333465731191796
SEMR,0.038807620397969055
PETS,0.03843763267123079
TZOO,0.015363031067980988
LVLU,0.007255301764978338
GROV,-0.0020131909001941785
RENT,-0.005101579163909392
TRUE,-0.00817179051332575
BARK,-0.016259648894004976
EB,-0.0295845703061745
DIBS,-0.03473371464855534
XMTR,-0.11568054040712857
CARS,-0.17105016032655518
CURV,-0.1965725165293454
COUR,-0.30228078460799396
RXT,-0.4495090303380126
