Period Start,Period End,Stock,Weight (%)
2015-01-01,2015-06-30,INTU,27.05766593272536
2015-01-01,2015-06-30,BKNG,25.55747621805018
2015-01-01,2015-06-30,WDAY,12.071185824541253
2015-01-01,2015-06-30,CPRT,9.296985106426577
2015-01-01,2015-06-30,TCOM,7.363090391781853
2015-01-01,2015-06-30,HUBS,6.614136365683774
2015-01-01,2015-06-30,EXPE,3.579585170633531
2015-01-01,2015-06-30,MMYT,2.162026131858958
2015-01-01,2015-06-30,WIX,1.9934562011989583
2015-01-01,2015-06-30,ETSY,1.021466807284857
2015-01-01,2015-06-30,W,0.994822760991718
2015-01-01,2015-06-30,BOX,0.8080544687590593
2015-01-01,2015-06-30,TRIP,0.3999889357747372
2015-01-01,2015-06-30,BKE,0.3845369823866396
2015-01-01,2015-06-30,TTGT,0.21369329766476167
2015-01-01,2015-06-30,TREE,0.09873840743769556
2015-01-01,2015-06-30,FLWS,0.0838168753735959
2015-01-01,2015-06-30,GRPN,0.0757367656489484
2015-01-01,2015-06-30,TRUE,0.050868832062103665
2015-01-01,2015-06-30,TZOO,0.04205280310752444
2015-01-01,2015-06-30,AEYE,0.04056253183096616
2015-01-01,2015-06-30,NEGG,0.027346399445372427
2015-01-01,2015-06-30,CHGG,0.025538269217795905
2015-01-01,2015-06-30,PETS,0.01823323038330137
2015-01-01,2015-06-30,PRTS,0.010307481366909888
2015-01-01,2015-06-30,FPAY,0.0056068416522567
2015-01-01,2015-06-30,LITB,0.0030209667113096058
2015-07-01,2015-12-31,BKNG,44.13568878908322
2015-07-01,2015-12-31,WDAY,20.84595897973965
2015-07-01,2015-12-31,TCOM,12.71545998067119
2015-07-01,2015-12-31,HUBS,11.422077115666314
2015-07-01,2015-12-31,EXPE,6.1816532953875525
2015-07-01,2015-12-31,W,1.717978230902829
2015-07-01,2015-12-31,BOX,1.395444536600597
2015-07-01,2015-12-31,TRIP,0.6907484541044887
2015-07-01,2015-12-31,TTGT,0.3690309951412092
2015-07-01,2015-12-31,TREE,0.1705132222375712
2015-07-01,2015-12-31,GRPN,0.13079125223690552
2015-07-01,2015-12-31,TRUE,0.08784634765194474
2015-07-01,2015-12-31,TZOO,0.0726217806025563
2015-07-01,2015-12-31,PETS,0.03148731020822369
2015-07-01,2015-12-31,PRTS,0.017800184412884727
2015-07-01,2015-12-31,FPAY,0.00968256083434791
2015-07-01,2015-12-31,LITB,0.005216964518522131
2016-01-01,2016-06-30,INTU,68.20794573373344
2016-01-01,2016-06-30,TCOM,18.561145337662346
2016-01-01,2016-06-30,WIX,5.025176699720511
2016-01-01,2016-06-30,ETSY,2.5749505790087115
2016-01-01,2016-06-30,W,2.507785300665486
2016-01-01,2016-06-30,BOX,2.0369730150433276
2016-01-01,2016-06-30,BKE,0.9693547733368618
2016-01-01,2016-06-30,NEGG,0.06893579564551469
2016-01-01,2016-06-30,PRTS,0.025983472908331664
2016-01-01,2016-06-30,FPAY,0.01413392981144849
2016-01-01,2016-06-30,LITB,0.007615362464032983
2016-07-01,2016-12-31,BKNG,42.43102605006507
2016-07-01,2016-12-31,WDAY,20.040820768309885
2016-07-01,2016-12-31,TCOM,12.224347879937689
2016-07-01,2016-12-31,HUBS,10.980919635280864
2016-07-01,2016-12-31,EXPE,5.942897895227526
2016-07-01,2016-12-31,MMYT,3.5894384226028877
2016-07-01,2016-12-31,WIX,3.3095752992620735
2016-07-01,2016-12-31,TRIP,0.6640695195720892
2016-07-01,2016-12-31,TTGT,0.3547778271445287
2016-07-01,2016-12-31,TREE,0.16392745130177913
2016-07-01,2016-12-31,GRPN,0.12573967197624072
2016-07-01,2016-12-31,AEYE,0.06734271530147294
2016-07-01,2016-12-31,TRVG,0.057733011503327915
2016-07-01,2016-12-31,PETS,0.03027116866978822
2016-07-01,2016-12-31,PRTS,0.01711268384477755
2017-01-01,2017-06-30,WDAY,40.11191263332929
2017-01-01,2017-06-30,HUBS,21.97842564115412
2017-01-01,2017-06-30,CVNA,16.345955477709563
2017-01-01,2017-06-30,MMYT,7.184298591095309
2017-01-01,2017-06-30,WIX,6.624149619028826
2017-01-01,2017-06-30,ETSY,3.394280224595341
2017-01-01,2017-06-30,BOX,2.6851223007385427
2017-01-01,2017-06-30,BKE,1.2777960728943676
2017-01-01,2017-06-30,FLWS,0.2785190478427664
2017-01-01,2017-06-30,NEGG,0.09087064032754957
2017-01-01,2017-06-30,FPAY,0.018631238535571082
2017-01-01,2017-06-30,LITB,0.010038512748754917
2017-07-01,2017-12-31,BKNG,48.58127776886826
2017-07-01,2017-12-31,TCOM,13.996230946614546
2017-07-01,2017-12-31,HUBS,12.572571455843478
2017-07-01,2017-12-31,CVNA,9.350564804456479
2017-07-01,2017-12-31,EXPE,6.804303366583995
2017-07-01,2017-12-31,MMYT,4.109716904723585
2017-07-01,2017-12-31,BOX,1.536001374479771
2017-07-01,2017-12-31,TRIP,0.7603244321762304
2017-07-01,2017-12-31,BKE,0.7309523755140548
2017-07-01,2017-12-31,CARS,0.357716172683589
2017-07-01,2017-12-31,RDFN,0.31638538557450796
2017-07-01,2017-12-31,SFIX,0.18977751299189108
2017-07-01,2017-12-31,TREE,0.18768825048533425
2017-07-01,2017-12-31,FLWS,0.15932445244211715
2017-07-01,2017-12-31,GRPN,0.14396526550257113
2017-07-01,2017-12-31,AEYE,0.07710384269073442
2017-07-01,2017-12-31,TRVG,0.06610124075168668
2017-07-01,2017-12-31,PETS,0.0346588850290833
2017-07-01,2017-12-31,PRTS,0.0195931167503004
2017-07-01,2017-12-31,LITB,0.005742445837785197
2018-01-01,2018-06-30,INTU,46.05575868004052
2018-01-01,2018-06-30,WDAY,20.546769359163292
2018-01-01,2018-06-30,CPRT,15.824709477089222
2018-01-01,2018-06-30,CVNA,8.372988349515511
2018-01-01,2018-06-30,WIX,3.3931285118945964
2018-01-01,2018-06-30,ETSY,1.7386728364875008
2018-01-01,2018-06-30,W,1.6933211136379522
2018-01-01,2018-06-30,BOX,1.3754165531508233
2018-01-01,2018-06-30,BKE,0.6545332664089931
2018-01-01,2018-06-30,FLWS,0.142667508539697
2018-01-01,2018-06-30,LOVE,0.10247398692149233
2018-01-01,2018-06-30,NEGG,0.04654722165450315
2018-01-01,2018-06-30,CHGG,0.04346954268432145
2018-01-01,2018-06-30,FPAY,0.009543592811574212
2018-07-01,2018-12-31,BKNG,38.0942227033014
2018-07-01,2018-12-31,WDAY,17.99248240200814
2018-07-01,2018-12-31,TCOM,10.974917976094112
2018-07-01,2018-12-31,HUBS,9.858578427490158
2018-07-01,2018-12-31,CVNA,7.332094058071028
2018-07-01,2018-12-31,DOCU,4.79416203295719
2018-07-01,2018-12-31,MMYT,3.222567997509257
2018-07-01,2018-12-31,SMAR,1.9363548842822458
2018-07-01,2018-12-31,W,1.4828146364767665
2018-07-01,2018-12-31,BOX,1.2044306185274005
2018-07-01,2018-12-31,CARG,1.0058664984911017
2018-07-01,2018-12-31,TRIP,0.5961960980911688
2018-07-01,2018-12-31,BKE,0.5731644752288341
2018-07-01,2018-12-31,TTGT,0.3185165859880572
2018-07-01,2018-12-31,RDFN,0.24808847958850141
2018-07-01,2018-12-31,TREE,0.14717270399509919
2018-07-01,2018-12-31,GRPN,0.1128880329514359
2018-07-01,2018-12-31,EB,0.0783041851860387
2018-07-01,2018-12-31,PETS,0.027177203762065148
2019-01-01,2019-06-30,INTU,39.70192611660077
2019-01-01,2019-06-30,WDAY,17.71214593813352
2019-01-01,2019-06-30,CPRT,13.641539396643276
2019-01-01,2019-06-30,TCOM,10.803920465690055
2019-01-01,2019-06-30,PINS,5.426154004597619
2019-01-01,2019-06-30,CHWY,3.7808360543705755
2019-01-01,2019-06-30,MMYT,3.1723579544016745
2019-01-01,2019-06-30,ETSY,1.4988062833732634
2019-01-01,2019-06-30,W,1.459711264608245
2019-01-01,2019-06-30,BOX,1.1856646798961308
