Stock,Total Contribution (%)
BKNG,39.57283366923119
INTU,32.63677929909641
HUBS,28.444491961103413
CVNA,23.952737828979828
PINS,22.80654333286332
CPRT,21.660109833107892
WDAY,19.202039258150123
CHWY,13.637368014092226
ETSY,10.126398427525373
RDDT,9.98647716290597
W,8.613477281072916
DUOL,8.387831975640243
MMYT,8.1685443245164
WIX,7.451245842786071
MNDY,6.617413103870925
BILL,6.590531784353764
BOX,3.5993510269239226
BKE,2.16993667968629
DOCU,2.125474830826827
SPT,1.8804261923393093
ABNB,1.8336502539117778
NEGG,1.0331550995485317
LOVE,1.0117687253766232
EXPE,0.9774842717439345
FLWS,0.515499168904837
CARS,0.46771039420542093
UPWK,0.4019530409089103
AEYE,0.34797117295020213
GRPN,0.3121279204671884
FVRR,0.25367600469332297
TREE,0.2048222190724525
BARK,0.15570287453112439
RDFN,0.10093957166236796
SEMR,0.09186918161373442
PRTS,0.035379499690793015
FPAY,0.02351465453853062
ZIP,0.01871511635337434
RXT,0.014257947398857928
LITB,0.01248057135488524
TDUP,0.01241671549568586
CARG,0.007314819591168304
GDRX,0.007049376310962283
PETS,0.0061763195372557715
RENT,0.00353393754362191
LVLU,-0.011096650670495692
GROV,-0.020100048803814895
XMTR,-0.02943472595387936
CHGG,-0.033307759526074975
COUR,-0.03391694564698971
TRUE,-0.03600303204499902
EB,-0.03823533223736185
DIBS,-0.03931452259963309
TZOO,-0.04786399450880072
REAL,-0.04907682664263505
CURV,-0.07659777495908263
TRVG,-0.10694850100842283
UDMY,-0.11438087979031868
NRDS,-0.12615452381867082
TRIP,-0.3264816632752759
SMAR,-0.36040492917620415
WEAV,-0.37620577969013214
TTGT,-0.45686331458962975
DOCN,-0.612601885784881
OPEN,-0.6378869086366504
RVLV,-0.9300991602520597
TCOM,-3.657217101636573
